event.string(),value.string(),device.string(),time.string()
"Battery","50.394531","280040001347353236343033","2017-04-26T12:13:00.000Z"
"Battery","50.011719","280040001347353236343033","2017-04-26T12:14:00.000Z"
"Battery","49.625","280040001347353236343033","2017-04-26T12:15:00.000Z"
"Battery","49.625","280040001347353236343033","2017-04-26T12:16:00.000Z"
"Battery","49.242188","280040001347353236343033","2017-04-26T12:17:00.000Z"
"Battery","49.242188","280040001347353236343033","2017-04-26T12:18:00.000Z"
"Battery","48.859375","280040001347353236343033","2017-04-26T12:19:00.000Z"
"Battery","48.476563","280040001347353236343033","2017-04-26T12:20:00.000Z"
"Battery","48.476563","280040001347353236343033","2017-04-26T12:21:00.000Z"
"Battery","48.089844","280040001347353236343033","2017-04-26T12:22:00.000Z"
"Battery","47.707031","280040001347353236343033","2017-04-26T12:23:00.000Z"
"Battery","47.707031","280040001347353236343033","2017-04-26T12:24:00.000Z"
"Battery","47.324219","280040001347353236343033","2017-04-26T12:25:00.000Z"
"Battery","46.914063","280040001347353236343033","2017-04-26T12:26:00.000Z"
"Battery","46.914063","280040001347353236343033","2017-04-26T12:27:00.000Z"
"Battery","46.503906","280040001347353236343033","2017-04-26T12:28:00.000Z"
"Battery","46.503906","280040001347353236343033","2017-04-26T12:29:00.000Z"
"Battery","46.097656","280040001347353236343033","2017-04-26T12:30:00.000Z"
"Battery","45.6875","280040001347353236343033","2017-04-26T12:31:00.000Z"
"Battery","45.6875","280040001347353236343033","2017-04-26T12:32:00.000Z"
"Battery","45.277344","280040001347353236343033","2017-04-26T12:33:00.000Z"
"Battery","44.867188","280040001347353236343033","2017-04-26T12:34:00.000Z"
"Battery","44.867188","280040001347353236343033","2017-04-26T12:35:00.000Z"
"Battery","44.460938","280040001347353236343033","2017-04-26T12:36:00.000Z"
"Battery","44.460938","280040001347353236343033","2017-04-26T12:37:00.000Z"
"Battery","44.050781","280040001347353236343033","2017-04-26T12:38:00.000Z"
"Battery","43.640625","280040001347353236343033","2017-04-26T12:39:00.000Z"
"Battery","43.640625","280040001347353236343033","2017-04-26T12:40:00.000Z"
"Battery","43.230469","280040001347353236343033","2017-04-26T12:41:00.000Z"
"Battery","42.824219","280040001347353236343033","2017-04-26T12:42:00.000Z"
"Battery","42.824219","280040001347353236343033","2017-04-26T12:43:00.000Z"
"Battery","42.414063","280040001347353236343033","2017-04-26T12:44:00.000Z"
"Battery","42.414063","280040001347353236343033","2017-04-26T12:45:00.000Z"
"Battery","42.003906","280040001347353236343033","2017-04-26T12:46:00.000Z"
"Battery","41.59375","280040001347353236343033","2017-04-26T12:47:00.000Z"
"Battery","41.59375","280040001347353236343033","2017-04-26T12:48:00.000Z"
"Battery","41.1875","280040001347353236343033","2017-04-26T12:49:00.000Z"
"Battery","40.824219","280040001347353236343033","2017-04-26T12:50:00.000Z"
"Battery","40.824219","280040001347353236343033","2017-04-26T12:51:00.000Z"
"Battery","40.464844","280040001347353236343033","2017-04-26T12:52:00.000Z"
"Battery","40.105469","280040001347353236343033","2017-04-26T12:53:00.000Z"
"Battery","39.746094","280040001347353236343033","2017-04-26T12:54:00.000Z"
"Battery","39.746094","280040001347353236343033","2017-04-26T12:55:00.000Z"
"Battery","39.382813","280040001347353236343033","2017-04-26T12:56:00.000Z"
"Battery","39.023438","280040001347353236343033","2017-04-26T12:57:00.000Z"
"Battery","39.023438","280040001347353236343033","2017-04-26T12:58:00.000Z"
"Battery","38.664063","280040001347353236343033","2017-04-26T12:59:00.000Z"
"Battery","38.304688","280040001347353236343033","2017-04-26T01:00:00.000Z"
"Battery","37.941406","280040001347353236343033","2017-04-26T01:01:00.000Z"
"Battery","37.941406","280040001347353236343033","2017-04-26T01:02:00.000Z"
"Battery","37.582031","280040001347353236343033","2017-04-26T01:03:00.000Z"
"Battery","37.222656","280040001347353236343033","2017-04-26T01:04:00.000Z"
"Battery","37.222656","280040001347353236343033","2017-04-26T01:05:00.000Z"
"Battery","36.863281","280040001347353236343033","2017-04-26T01:06:00.000Z"
"Battery","36.5","280040001347353236343033","2017-04-26T01:07:00.000Z"
"Battery","36.5","280040001347353236343033","2017-04-26T01:08:00.000Z"
"Battery","36.140625","280040001347353236343033","2017-04-26T01:09:00.000Z"
"Battery","35.78125","280040001347353236343033","2017-04-26T01:10:00.000Z"
"Battery","35.421875","280040001347353236343033","2017-04-26T01:11:00.000Z"
"Battery","35.421875","280040001347353236343033","2017-04-26T01:12:00.000Z"
"Battery","35.058594","280040001347353236343033","2017-04-26T01:13:00.000Z"
"Battery","34.699219","280040001347353236343033","2017-04-26T01:14:00.000Z"
"Battery","34.699219","280040001347353236343033","2017-04-26T01:15:00.000Z"
"Battery","34.269531","280040001347353236343033","2017-04-26T01:16:00.000Z"
"Battery","34.269531","280040001347353236343033","2017-04-26T01:17:00.000Z"
"Battery","33.839844","280040001347353236343033","2017-04-26T01:18:00.000Z"
"Battery","33.839844","280040001347353236343033","2017-04-26T01:19:00.000Z"
"Battery","33.410156","280040001347353236343033","2017-04-26T01:20:00.000Z"
"Battery","32.980469","280040001347353236343033","2017-04-26T01:21:00.000Z"
"Battery","32.980469","280040001347353236343033","2017-04-26T01:22:00.000Z"
"Battery","32.550781","280040001347353236343033","2017-04-26T01:23:00.000Z"
"Battery","32.550781","280040001347353236343033","2017-04-26T01:24:00.000Z"
"Battery","32.121094","280040001347353236343033","2017-04-26T01:25:00.000Z"
"Battery","31.691406","280040001347353236343033","2017-04-26T01:26:00.000Z"
"Battery","31.691406","280040001347353236343033","2017-04-26T01:27:00.000Z"
"Battery","31.261719","280040001347353236343033","2017-04-26T01:28:00.000Z"
"Battery","31.261719","280040001347353236343033","2017-04-26T01:29:00.000Z"
"Battery","30.832031","280040001347353236343033","2017-04-26T01:30:00.000Z"
"Battery","30.402344","280040001347353236343033","2017-04-26T01:31:00.000Z"
"Battery","30.402344","280040001347353236343033","2017-04-26T01:32:00.000Z"
"Battery","29.972656","280040001347353236343033","2017-04-26T01:33:00.000Z"
"Battery","29.972656","280040001347353236343033","2017-04-26T01:34:00.000Z"
"Battery","29.542969","280040001347353236343033","2017-04-26T01:35:00.000Z"
"Battery","29.113281","280040001347353236343033","2017-04-26T01:36:00.000Z"
"Battery","29.113281","280040001347353236343033","2017-04-26T01:37:00.000Z"
"Battery","28.683594","280040001347353236343033","2017-04-26T01:38:00.000Z"
"Battery","28.253906","280040001347353236343033","2017-04-26T01:39:00.000Z"
"Battery","28.253906","280040001347353236343033","2017-04-26T01:40:00.000Z"
"Battery","27.824219","280040001347353236343033","2017-04-26T01:41:00.000Z"
"Battery","27.394531","280040001347353236343033","2017-04-26T01:42:00.000Z"
"Battery","27.394531","280040001347353236343033","2017-04-26T01:43:00.000Z"
"Battery","26.964844","280040001347353236343033","2017-04-26T01:44:00.000Z"
"Battery","26.964844","280040001347353236343033","2017-04-26T01:45:00.000Z"
"Battery","26.535156","280040001347353236343033","2017-04-26T01:46:00.000Z"
"Battery","26.105469","280040001347353236343033","2017-04-26T01:47:00.000Z"
"Battery","25.675781","280040001347353236343033","2017-04-26T01:48:00.000Z"
"Battery","25.675781","280040001347353236343033","2017-04-26T01:49:00.000Z"
"Battery","25.246094","280040001347353236343033","2017-04-26T01:50:00.000Z"
"Battery","24.816406","280040001347353236343033","2017-04-26T01:51:00.000Z"
"Battery","24.816406","280040001347353236343033","2017-04-26T01:52:00.000Z"
"Battery","24.386719","280040001347353236343033","2017-04-26T01:53:00.000Z"
"Battery","23.957031","280040001347353236343033","2017-04-26T01:54:00.000Z"
"Battery","23.527344","280040001347353236343033","2017-04-26T01:55:00.000Z"
"Battery","23.527344","280040001347353236343033","2017-04-26T01:56:00.000Z"
"Battery","23.097656","280040001347353236343033","2017-04-26T01:57:00.000Z"
"Battery","22.667969","280040001347353236343033","2017-04-26T01:58:00.000Z"
"Battery","22.238281","280040001347353236343033","2017-04-26T01:59:00.000Z"
"Battery","22.238281","280040001347353236343033","2017-04-26T02:00:00.000Z"
"Battery","21.808594","280040001347353236343033","2017-04-26T02:01:00.000Z"
"Battery","21.378906","280040001347353236343033","2017-04-26T02:02:00.000Z"
"Battery","20.949219","280040001347353236343033","2017-04-26T02:03:00.000Z"
"Battery","20.949219","280040001347353236343033","2017-04-26T02:04:00.000Z"
"Battery","20.519531","280040001347353236343033","2017-04-26T02:05:00.000Z"
"Battery","20.089844","280040001347353236343033","2017-04-26T02:06:00.000Z"
"Battery","19.832031","280040001347353236343033","2017-04-26T02:07:00.000Z"
"Battery","19.574219","280040001347353236343033","2017-04-26T02:08:00.000Z"
"Battery","19.3125","280040001347353236343033","2017-04-26T02:09:00.000Z"
"Battery","19.054688","280040001347353236343033","2017-04-26T02:10:00.000Z"
"Battery","18.539063","280040001347353236343033","2017-04-26T02:11:00.000Z"
"Battery","18.277344","280040001347353236343033","2017-04-26T02:12:00.000Z"
"Battery","18.019531","280040001347353236343033","2017-04-26T02:13:00.000Z"
"Battery","17.761719","280040001347353236343033","2017-04-26T02:14:00.000Z"
"Battery","17.503906","280040001347353236343033","2017-04-26T02:15:00.000Z"
"Battery","17.242188","280040001347353236343033","2017-04-26T02:16:00.000Z"
"Battery","16.984375","280040001347353236343033","2017-04-26T02:17:00.000Z"
"Battery","16.726563","280040001347353236343033","2017-04-26T02:18:00.000Z"
"Battery","16.207031","280040001347353236343033","2017-04-26T02:19:00.000Z"
"Battery","15.949219","280040001347353236343033","2017-04-26T02:20:00.000Z"
"Battery","15.691406","280040001347353236343033","2017-04-26T02:21:00.000Z"
"Battery","15.433594","280040001347353236343033","2017-04-26T02:22:00.000Z"
"Battery","14.914063","280040001347353236343033","2017-04-26T02:23:00.000Z"
"Battery","14.65625","280040001347353236343033","2017-04-26T02:24:00.000Z"
"Battery","14.136719","280040001347353236343033","2017-04-26T02:25:00.000Z"
"Battery","13.878906","280040001347353236343033","2017-04-26T02:26:00.000Z"
"Battery","13.363281","280040001347353236343033","2017-04-26T02:27:00.000Z"
"Battery","12.84375","280040001347353236343033","2017-04-26T02:28:00.000Z"
"Battery","12.328125","280040001347353236343033","2017-04-26T02:29:00.000Z"
"Battery","11.808594","280040001347353236343033","2017-04-26T02:30:00.000Z"
"Battery","11.292969","280040001347353236343033","2017-04-26T02:31:00.000Z"
"Battery","10.515625","280040001347353236343033","2017-04-26T02:32:00.000Z"
"Battery","9.996094","280040001347353236343033","2017-04-26T02:33:00.000Z"
"Battery","9.222656","280040001347353236343033","2017-04-26T02:34:00.000Z"
"Battery","8.335938","280040001347353236343033","2017-04-26T02:35:00.000Z"
"Battery","7.472656","280040001347353236343033","2017-04-26T02:36:00.000Z"
"Battery","6.613281","280040001347353236343033","2017-04-26T02:37:00.000Z"
"Battery","5.742188","280040001347353236343033","2017-04-26T02:38:00.000Z"
"Battery","4.808594","280040001347353236343033","2017-04-26T02:39:00.000Z"
"Battery","3.871094","280040001347353236343033","2017-04-26T02:40:00.000Z"
"Battery","2.9375","280040001347353236343033","2017-04-26T02:41:00.000Z"
"Battery","2.097656","280040001347353236343033","2017-04-26T02:42:00.000Z"
"Battery","1.5","280040001347353236343033","2017-04-26T02:43:00.000Z"
"Battery","0.933594","280040001347353236343033","2017-04-26T02:44:00.000Z"
"Battery","0.351563","280040001347353236343033","2017-04-26T02:45:00.000Z"
"Battery","0.089844","280040001347353236343033","2017-04-26T02:46:00.000Z"
"Battery","0.015625","280040001347353236343033","2017-04-26T02:47:00.000Z"
"Battery","0","280040001347353236343033","2017-04-26T02:48:00.000Z"
"Battery","0","280040001347353236343033","2017-04-26T02:55:00.000Z"
"Battery","0","280040001347353236343033","2017-04-26T03:05:00.000Z"
"Battery","0","280040001347353236343033","2017-04-26T03:24:00.000Z"
"Battery","0","280040001347353236343033","2017-04-26T04:17:00.000Z"
"Battery","0","280040001347353236343033","2017-04-26T05:43:00.000Z"
"Battery","0","280040001347353236343033","2017-04-26T07:37:00.000Z"
"Battery","0","280040001347353236343033","2017-04-26T08:46:00.000Z"
"Battery","0","280040001347353236343033","2017-04-26T08:47:00.000Z"
"Battery","0.03125","280040001347353236343033","2017-04-26T08:48:00.000Z"
